"gene_id","gene_name","gene_type","pvalue","FDR","logFC"
"ENSG00000108821","COL1A1","protein_coding",2.5221491834547e-08,0.000252978678498557,4.4693943393422
"ENSG00000197430","OPALIN","protein_coding",6.00628803079664e-08,0.000252978678498557,-3.80200298001901
"ENSG00000168542","COL3A1","protein_coding",7.07434783273371e-08,0.000252978678498557,4.56162015265394
"ENSG00000120694","HSPH1","protein_coding",1.11928178023687e-07,0.000300191373459528,3.26867282860249
"ENSG00000132702","HAPLN2","protein_coding",1.44065935953183e-07,0.00030910787218115,-4.33611514139608
"ENSG00000167755","KLK6","protein_coding",2.45639970470683e-07,0.000439204267201581,-3.75909086700963
"ENSG00000150656","CNDP1","protein_coding",4.01444418366055e-07,0.000615242245747291,-3.99024103938508
"ENSG00000133110","POSTN","protein_coding",6.70518745479992e-07,0.000871665206237145,4.34459274608253
"ENSG00000165806","CASP7","protein_coding",7.31262756910357e-07,0.000871665206237145,2.42154858108166
"ENSG00000144381","HSPD1","protein_coding",8.49572153488976e-07,0.000905125190548943,2.12562581037904
"ENSG00000146674","IGFBP3","protein_coding",9.28073927669498e-07,0.000905125190548943,2.31963916449171
"ENSG00000129538","RNASE1","protein_coding",1.16634880247434e-06,0.0010098541301349,-2.55673467928347
"ENSG00000172005","MAL","protein_coding",1.3510021649725e-06,0.0010098541301349,-2.49737892986526
"ENSG00000124920","MYRF","protein_coding",1.36269664004554e-06,0.0010098541301349,-2.43881664883398
"ENSG00000172508","CARNS1","protein_coding",1.41198843698952e-06,0.0010098541301349,-2.88429105767665
"ENSG00000102934","PLLP","protein_coding",1.71341032957941e-06,0.00109705063628307,-2.95151409948241
"ENSG00000110172","CHORDC1","protein_coding",1.75444185457296e-06,0.00109705063628307,2.10895939170429
"ENSG00000091513","TF","protein_coding",1.8415382183487e-06,0.00109705063628307,-2.47547981070257
"ENSG00000004478","FKBP4","protein_coding",2.05856311535809e-06,0.00109705063628307,1.66439053659202
"ENSG00000151552","QDPR","protein_coding",2.11159508253827e-06,0.00109705063628307,-2.59483453116913
"ENSG00000169562","GJB1","protein_coding",2.18894410221733e-06,0.00109705063628307,-8.23513780995632
"ENSG00000103089","FA2H","protein_coding",2.24973098417483e-06,0.00109705063628307,-2.8296994664776
"ENSG00000147459","DOCK5","protein_coding",2.3679838024331e-06,0.0011045100101088,-3.4390084396138
"ENSG00000204655","MOG","protein_coding",2.78771622748232e-06,0.00113850275781046,-2.33137390137195
"ENSG00000168481","LGI3","protein_coding",2.82707314595421e-06,0.00113850275781046,-2.41868415091733
