"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000280071","GATD3B","protein_coding",8.14425033745413e-18,1.0300847826812e-13,-5.00623286013352
"ENSG00000179344","HLA-DQB1","protein_coding",2.50117388952837e-15,1.58174236773774e-11,2.59275263702606
"ENSG00000143226","FCGR2A","protein_coding",2.36478448998565e-14,9.9699314097795e-11,2.20582132553113
"ENSG00000203747","FCGR3A","protein_coding",5.30199563134337e-14,1.50763476546995e-10,2.39855902427049
"ENSG00000196735","HLA-DQA1","protein_coding",5.95997298177557e-14,1.50763476546995e-10,3.22999357752048
"ENSG00000160284","SPATC1L","protein_coding",1.1600655590153e-13,2.44541819840426e-10,-5.15880435050957
"ENSG00000163131","CTSS","protein_coding",3.07459603151776e-13,5.5553558009481e-10,1.85973800957545
"ENSG00000158869","FCER1G","protein_coding",4.06552176332368e-13,6.42758990781474e-10,2.13851454119709
"ENSG00000129667","RHBDF2","protein_coding",9.49074147730378e-13,1.33376553561042e-09,1.90973655124474
"ENSG00000159189","C1QC","protein_coding",1.30015458952458e-12,1.64443552483069e-09,2.2824166905175
"ENSG00000173369","C1QB","protein_coding",1.77697106322223e-12,2.0431936370577e-09,2.45556198015158
"ENSG00000184227","ACOT1","protein_coding",2.48360094516134e-12,2.61771539620006e-09,3.55413912134903
"ENSG00000037241","RPL26L1","protein_coding",3.32126638395745e-12,3.23133670956106e-09,-1.0218143783632
"ENSG00000104894","CD37","protein_coding",3.62036771843870e-12,3.2707436359152e-09,1.82899745759212
"ENSG00000170458","CD14","protein_coding",4.46653092812564e-12,3.76617887859554e-09,1.62998855303999
"ENSG00000183111","ARHGEF37","protein_coding",5.1923506073723e-12,4.1045531551278e-09,1.03180308368293
"ENSG00000223865","HLA-DPB1","protein_coding",8.15858093243191e-12,6.06998421372934e-09,2.07420202204891
"ENSG00000129226","CD68","protein_coding",8.90503513383125e-12,6.25727135403876e-09,1.73858167752954
"ENSG00000196126","HLA-DRB1","protein_coding",9.98056353263598e-12,6.64390355583052e-09,1.78906073273592
"ENSG00000231389","HLA-DPA1","protein_coding",1.65941418234708e-11,1.04941352891629e-08,2.53825306494814
"ENSG00000204257","HLA-DMA","protein_coding",2.1987060896573e-11,1.30464315485894e-08,1.70085650012548
"ENSG00000232229","LINC00865","lncRNA",2.26930340029227e-11,1.30464315485894e-08,1.43049179851105
"ENSG00000164530","PI16","protein_coding",2.44934189158541e-11,1.34692505412053e-08,1.69014952084981
"ENSG00000204287","HLA-DRA","protein_coding",2.72108387924692e-11,1.43401120436313e-08,2.69429697141023
"ENSG00000164877","MICALL2","protein_coding",4.76014344295714e-11,2.40825177066088e-08,0.746219005634526
"ENSG00000173372","C1QA","protein_coding",5.25398092181629e-11,2.55585964227432e-08,1.96507771862881
"ENSG00000214402","LCNL1","protein_coding",5.76970943902189e-11,2.70278833276848e-08,1.69757551371832
"ENSG00000179588","ZFPM1","protein_coding",6.24369574567985e-11,2.8203665639771e-08,0.808850860580554
"ENSG00000133256","PDE6B","protein_coding",8.26367673561767e-11,3.60410287421008e-08,1.11075401039406
"ENSG00000090339","ICAM1","protein_coding",1.53513791631893e-10,6.47214145520059e-08,1.57239363069689
"ENSG00000042980","ADAM28","protein_coding",2.09983094155466e-10,8.56731024154302e-08,1.55704445885617
"ENSG00000133433","GSTT2B","protein_coding",3.20785399547521e-10,1.26790429171158e-07,1.93040882279291
"ENSG00000256092","SBNO1-AS1","lncRNA",4.23841502542558e-10,1.62446888610857e-07,1.05486638748266
"ENSG00000112799","LY86","protein_coding",4.51048477808462e-10,1.67790033744748e-07,1.56041693546043
"ENSG00000135077","HAVCR2","protein_coding",4.82317921524118e-10,1.71374719054714e-07,1.32831000682247
"ENSG00000137221","TJAP1","protein_coding",4.87783830326511e-10,1.71374719054714e-07,0.817378996208416
"ENSG00000089327","FXYD5","protein_coding",5.60917289816067e-10,1.81909791835734e-07,1.27860350973853
"ENSG00000105697","HAMP","protein_coding",5.57771000832378e-10,1.81909791835734e-07,2.25492428582602
